Episode,Steps,TotalReward,ActorLoss,CriticLoss,MeanValue,ValueStd,MeanReturn,ClipFraction
1312,96,-106.39,-0.0281,0.0993,-8.94,11.88,-54.82,0.0000
1328,97,-20.99,-0.0192,0.0731,2.77,22.62,6.64,0.0000
1344,67,-21.78,-0.0164,0.0725,5.16,9.81,2.48,0.0000
1360,74,-32.58,-0.0194,0.0646,-17.12,13.50,-17.34,0.0000
1376,86,-77.01,-0.0211,0.0799,-9.19,13.44,-9.73,0.0000
1392,67,-45.22,-0.0240,0.0737,16.12,16.12,20.94,0.0000
1408,88,-27.12,-0.0196,0.0650,-16.12,22.12,0.69,0.0000
1424,91,-13.03,-0.0241,0.0519,-47.00,23.75,-32.46,0.0000
1440,66,-11.53,-0.0239,0.0550,-3.42,12.81,10.07,0.0000
1456,90,-39.74,-0.0248,0.0635,-25.25,26.75,-11.24,0.0000
1472,63,-53.95,-0.0293,0.0841,-9.56,5.44,-2.12,0.0000
1488,85,-20.39,-0.0270,0.0578,-17.38,10.94,-9.22,0.0000
1504,88,-10.27,-0.0175,0.0588,-20.88,8.69,-17.60,0.0000
1520,95,-46.16,-0.0265,0.0773,-14.69,21.00,-10.99,0.0000
1536,90,-0.22,-0.0243,0.0538,-7.19,27.62,-0.37,0.0000
1552,85,-49.33,-0.0236,0.0677,16.62,14.94,22.54,0.0000
1568,88,0.41,-0.0288,0.0423,-4.47,5.72,-0.33,0.0000
1584,70,-8.74,-0.0234,0.0534,-0.52,7.66,8.87,0.0000
1600,109,0.47,-0.0270,0.0516,-21.38,13.88,-7.93,0.0000
1616,83,25.44,-0.0236,0.0434,-3.33,18.75,9.03,0.0000
1632,97,-27.16,-0.0194,0.0689,11.38,17.88,14.66,0.0000
1648,99,-108.17,-0.0309,0.0912,-2.59,7.16,-24.36,0.0000
1664,100,25.58,-0.0212,0.0574,-20.38,7.88,-9.82,0.0000
1680,116,-10.38,-0.0210,0.0571,3.36,11.25,-8.89,0.0000
